"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"19780105050569I","05-JAN-78","BOSTON","MA","BOSTON INTL","INCIDENT","","TO ABORTED (FIXED WING)","BOEING","707","120B","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","7512","0","0","","","","4","","","0","0","0"
"19780108002129I","08-JAN-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","CLIMB","FAIRCHILD","FH-227","C","","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","374NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19780109002379I","09-JAN-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","OPERATIONS ON GROUND FROM LANDING/ROTORCRAFT","FAIRCHILD","FH-227","C","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","376NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19780110002399I","10-JAN-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","CLIMB","FAIRCHILD","FH-227","C","","OTHER","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","376NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19780112002729I","12-JAN-78","STOW","MA","","INCIDENT","MINOR","CLIMB","CESSNA","CE-182","","","PERSONAL","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","2428R","0","0","","","","1","PRIVATE PILOT","268","205","0","0"
"19780113002809I","13-JAN-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","CLIMB","BOEING","727","200","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","407DA","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19780114003079I","14-JAN-78","BEDFORD","MA","LAURENCE G HANSCOM FLD","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","BEECH","BE-58","","","BUSINESS","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","3622T","0","0","","","","2","PRIVATE PILOT","983","459","0","0"
"19780116003309I","16-JAN-78","EAST BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","CLIMB","MCDONNELL-DOUGLAS-BOEING","DC-9","15","TRANS WORLD AIRLINES","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","1067T","0","0","PWA","JT8*","JT8","2","AIRLINE TRANSPORT","","0","0","0"
"19780119003539I","19-JAN-78","HYANNIS","MA","BARNSTABLE MUNI-BOARDMAN/POLANDO FIELD","INCIDENT","","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","FAIRCHILD","FH-227","C","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","377NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19780119003679I","19-JAN-78","NORTH ADAMS","MA","","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","BEECH","BE-35","BE-35-V35A","","PERSONAL","GENERAL OPERATING RULES","NONE","980RP","0","0","","","","1","COMMERCIAL PILOT","3000","1000","0","0"
