"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"19780122004199I","22-JAN-78","WINDSOR","ME","","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","TCRAFT","BC","BC-12-D","","PERSONAL","GENERAL OPERATING RULES","NONE","95040","0","0","","","","1","PRIVATE PILOT","260","200","0","0"
"19780125004959I","25-JAN-78","TURNER","ME","TWITCHELL","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","PIPER","PA-18","","","PERSONAL","GENERAL OPERATING RULES","NONE","3375Z","0","0","","","","1","PRIVATE PILOT","80","8","0","0"
"19780201005149I","01-FEB-78","BANGOR","ME","BANGOR INTL","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CESSNA","CE-310","","","PERSONAL","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","3068D","0","0","","","","2","PRIVATE PILOT","345","110","0","0"
"19780209007859I","09-FEB-78","PRINCETON","ME","PRINCETON MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-28","PA-28-180","","INSTRUCTION","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","5143L","0","0","","","","1","STUDENT","31","31","0","0"
"19780210005749I","10-FEB-78","AUGUSTA","ME","AUGUSTA STATE","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BEECH","BE-58","","","EXECUTIVE","GENERAL OPERATING RULES","NONE","414SW","0","0","","","","2","AIRLINE TRANSPORT","4100","400","0","0"
"19780210005799I","10-FEB-78","PORTLAND","ME","PORTLAND INTL","INCIDENT","","NORMAL CRUISE","RAYTHEON","99","","BAR HARBOR AIRWAYS INC","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR TAXI/COMMUTER","INSTRUMENT FLIGHT RULES","300WP","0","0","","","","2","AIRLINE TRANSPORT","3214","2732","0","0"
"19780217007199I","17-FEB-78","ELIOT","ME","LITTLEBROOK AIR PARK","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CESSNA","CE-150","","","INSTRUCTION","GENERAL OPERATING RULES","NONE","9338U","0","0","","","","1","STUDENT","51","51","0","0"
"19780218007249I","18-FEB-78","BANGOR","ME","BANGOR INTL","INCIDENT","MINOR","TO ABORTED (FIXED WING)","MCDONNELL-DOUGLAS-BOEING","DC-8","63C","","ALL CARGO CARRIERS","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","784FT","0","0","","","","4","AIRLINE TRANSPORT","","0","0","0"
"19780318008889I","18-MAR-78","OLD TOWN","ME","DEWITT","INCIDENT","MINOR","OPERATIONS ON GROUND FROM LANDING/ROTORCRAFT","STNSON","SR-10","SR-10-A","","PERSONAL","GENERAL OPERATING RULES","NONE","31561","0","0","","","","1","PRIVATE PILOT","150","5","0","0"
"19780331012089I","31-MAR-78","BREWER","ME","BREWER MUNI","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CESSNA","CE-150","","","PERSONAL","GENERAL OPERATING RULES","NONE","19120","0","0","","","","1","PRIVATE PILOT","81","81","0","0"
"19780402008719I","02-APR-78","WATERVILLE","ME","WATERVILLE ROBERT LAFLEUR","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CESSNA","CE-140","","","PERSONAL","GENERAL OPERATING RULES","NONE","2001N","0","0","","","","1","PRIVATE PILOT","150","22","0","0"
"19780418013209I","18-APR-78","MACHIAS","ME","MACHIAS MUNI","INCIDENT","MINOR","OTHER GROUND OPERATIONS","TCRAFT","19","","","PERSONAL","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","2182W","0","0","","","","1","PRIVATE PILOT","6100","15","0","0"
"19780504031969I","04-MAY-78","PORTLAND","ME","PORTLAND INTL","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CESSNA","CE-180","CE-180-J","","PERSONAL","GENERAL OPERATING RULES","NONE","9995N","0","0","","","","1","PRIVATE PILOT","280","12","0","0"
"19780524040019I","24-MAY-78","PORTLAND","ME","PORTLAND INTL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-182","","","PERSONAL","GENERAL OPERATING RULES","NONE","3672C","0","0","","","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","900","15","0","0"
"19780529041129I","29-MAY-78","BANGOR","ME","BANGOR INTL","INCIDENT","","LEVEL OFF TOUCHDOWN","MCDONNELL-DOUGLAS-BOEING","DC-9","32","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","1264L","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19780609045239I","09-JUN-78","BANGOR","ME","BANGOR INTL","INCIDENT","","NORMAL CRUISE","MCDONNELL-DOUGLAS-BOEING","DC-8","","","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","806WA","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19780726036589I","26-JUL-78","ELIOT","ME","LITTLEBROOK AIR PARK","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BLANCA","BL-7","BL-7-AC","","PERSONAL","GENERAL OPERATING RULES","NONE","1121","0","0","","","","1","PRIVATE PILOT","115","54","0","0"
"19780728036829I","28-JUL-78","ROCKLAND","ME","KNOX COUNTY RGNL","INCIDENT","MINOR","TO INITIAL CLIMB (1ST POWER REDUCTION)","","","","","PERSONAL","GENERAL OPERATING RULES","NONE","1GJ","0","0","","","","","PRIVATE PILOT","825","15","0","0"
"19780730047339I","30-JUL-78","ELIOT","ME","LITTLEBROOK AIR PARK","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","BLANCA","BL-7","BL-7-KCAB","","PERSONAL","GENERAL OPERATING RULES","NONE","8888N","0","0","","","","1","PRIVATE PILOT","100","50","0","0"
"19780802047989I","02-AUG-78","SALSBURY COVE","ME","","INCIDENT","MINOR","FCD/PREC LDG FROM CRUISE","TCRAFT","BC","BC-65","","PERSONAL","GENERAL OPERATING RULES","NONE","21269","0","0","","","","1","PRIVATE PILOT","330","133","0","0"
"19780831038519I","31-AUG-78","AUGUSTA","ME","AUGUSTA MUNI","INCIDENT","MINOR","NORMAL CRUISE","RAYTHEON","99","","BAR HARBOR AIRWAYS INC","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR TAXI/COMMUTER","NONE","201TC","0","0","","","","2","COMMERCIAL PILOT","3455","1622","0","0"
"19780901016689I","01-SEP-78","PORTLAND","ME","PORTLAND INTL","INCIDENT","MINOR","OTHER GROUND OPERATIONS","CESSNA","CE-150","","","PERSONAL","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","3941U","0","0","","","","1","STUDENT","41","41","0","0"
"19780913017329I","13-SEP-78","AUGUSTA","ME","AUGUSTA STATE","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","TCRAFT","19","","","PERSONAL","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","2182W","0","0","","","","1","PRIVATE PILOT","96","90","0","0"
"19780916018999I","16-SEP-78","BANGOR","ME","BANGOR INTL","INCIDENT","","CLIMB","BOEING","707","","","SCHEDULED AIR CARRIER","FOREIGN AIR CARRIER","INSTRUMENT FLIGHT RULES","GBDEA","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19780918019609I","18-SEP-78","BANGOR","ME","BANGOR INTL","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","GULSTM","GA-AA","GA-AA-1A","","INSTRUCTION","GENERAL OPERATING RULES","NONE","6352L","0","0","","","","1","STUDENT","21","21","0","0"
"19780922027219I","22-SEP-78","BANGOR","ME","BANGOR INTL","INCIDENT","","NORMAL CRUISE","BOEING","747","","","SCHEDULED AIR CARRIER","FOREIGN AIR CARRIER","INSTRUMENT FLIGHT RULES","HBIGA","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19781017032909I","17-OCT-78","WISCASSET","ME","WISCASSET MUNI","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","PIPER","PA-31","","","BUSINESS","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","8DR","0","0","","","","2","AIRLINE TRANSPORT","11000","1500","0","0"
"19781026028389I","26-OCT-78","BRUNSWICK","ME","","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","GULSTM","GA-112","GA-112-A","","PERSONAL","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","1359J","0","0","","","","1","COMMERCIAL PILOT","655","27","0","0"
"19781121026219I","21-NOV-78","BANGOR","ME","BANGOR INTL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-310","CE-310-Q","BAR HARBOR AIRWAYS INC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","VISUAL FLIGHT RULES","69658","0","0","","","","2","AIRLINE TRANSPORT","12600","4800","0","0"
"19781126024509I","26-NOV-78","LIMINGTON","ME","LIMINGTON-HARMON","INCIDENT","MINOR","IDLING ENGINES","BEECH","BE-35","BE-35-B35","","PERSONAL","GENERAL OPERATING RULES","NONE","2833V","0","0","","","","1","PRIVATE PILOT","1500","0","0","0"
"19781213025079I","13-DEC-78","BANGOR","ME","BANGOR INTL","INCIDENT","","GROUND TAXI, OTHER AIRPLANE","MCDONNELL-DOUGLAS-BOEING","DC-9","32","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","1275L","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19781218023179I","18-DEC-78","PORTLAND","ME","PORTLAND INTL","INCIDENT","","LEVEL OFF TOUCHDOWN","DE HAVILLAND-BOMBARDIER","DHC-6 TWIN OTTER","","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","24KA","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19781227020079I","27-DEC-78","AUGUSTA","ME","AUGUSTA STATE","INCIDENT","MINOR","ENGINE RUN-UP","PIPER","PA-28","","","INSTRUCTION","GENERAL OPERATING RULES","","6845J","0","0","","","","","STUDENT","64","64","0","0"
"19781229020989I","29-DEC-78","PORTLAND","ME","PORTLAND INTL","INCIDENT","","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","MCDONNELL-DOUGLAS-BOEING","DC-9","","","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","3330L","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19781230019969I","30-DEC-78","WISCASSET","ME","WISCASSET MUNI","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","MAULE","M-4","","","PERSONAL","GENERAL OPERATING RULES","NONE","2012U","0","0","","","","1","PRIVATE PILOT","1000","700","0","0"
"19790111000589I","11-JAN-79","BANGOR","ME","BANGOR INTL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-210","CE-210-P210N","","OTHER","GENERAL OPERATING RULES","NONE","6199P","0","0","","","","1","AIRLINE TRANSPORT","14000","300","0","0"
"19790117002369I","17-JAN-79","BANGOR","ME","BANGOR INTL","INCIDENT","","NORMAL CRUISE","BOEING","747","","TRANS WORLD AIRLINES","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","17108","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19790120002439I","20-JAN-79","WINDHAM","ME","","INCIDENT","MINOR","FINAL APPROACH","BLANCA","BL-7","BL-7-GCBC","","PERSONAL","GENERAL OPERATING RULES","NONE","5749Z","0","0","","","","1","COMMERCIAL PILOT","700","80","0","0"
"19790121002959I","21-JAN-79","BANGOR","ME","BANGOR INTL","INCIDENT","","ROLL-OUT (FIXED WING)","BOEING","727","200","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","409DA","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19790217006439I","17-FEB-79","WATERVILLE","ME","WATERVILLE ROBERT LAFLEUR","INCIDENT","MINOR","TOUCH AND GO LANDING","PIPER","PA-30","","","PERSONAL","GENERAL OPERATING RULES","NONE","8164Y","0","0","","","","2","COMMERCIAL PILOT","2168","600","0","0"
"19790225007439I","25-FEB-79","BREWER","ME","BREWER MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-172","","","PERSONAL","GENERAL OPERATING RULES","NONE","6489E","0","0","","","","1","PRIVATE PILOT","650","90","0","0"
"19790301009769I","01-MAR-79","OLD TOWN","ME","DEWITT FLD,OLD TOWN MUNI","INCIDENT","MINOR","TO INITIAL CLIMB (1ST POWER REDUCTION)","ERCO","ERCO-415","ERCO-415-C","","PERSONAL","GENERAL OPERATING RULES","NONE","87206","0","0","","","","1","PRIVATE PILOT","101","7","0","0"
"19790324011129I","24-MAR-79","ELIOT","ME","LITTLEBROOK AIR PARK","INCIDENT","MINOR","GO ROUND (ABORTED VISUAL FLIGHT RULES)","CESSNA","CE-152","","","PERSONAL","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","757EH","0","0","","","","1","PRIVATE PILOT","72","72","0","0"
"19790404013549I","04-APR-79","PORTLAND","ME","PORTLAND INTL","INCIDENT","","GROUND TAXI, OTHER AIRPLANE","FAIRCHILD","FH-227","C","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","379NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
