"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"19780224001629I","24-FEB-78","LEBANON","NH","MONROE RGNL","INCIDENT","MINOR","OPERATIONS ON GROUND FROM LANDING/ROTORCRAFT","FAIRCHILD","FH-227","","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","274NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19780305016189I","05-MAR-78","LEBANON","NH","ELMIRA/CORNING RGNL","INCIDENT","","","FAIRCHILD","FH-227","C","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","374NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19780321009549I","21-MAR-78","MANCHESTER","NH","MANCHESTER MUNI","INCIDENT","","ROLL-OUT (FIXED WING)","AERO COMMANDER","JET COMMANDER 1121","","","EXECUTIVE","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","340DR","0","0","","","","2","AIRLINE TRANSPORT","9000","1500","0","0"
"19780409009479I","09-APR-78","KEENE","NH","KEENE MUNI","INCIDENT","MINOR","FINAL APPROACH","FAIRCHILD","FH-227","C","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","374NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19780416010769I","16-APR-78","LACONIA","NH","LOCONIA MUNI","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","PIPER","PA-23","PA-23-160","","PERSONAL","GENERAL OPERATING RULES","NONE","73V","0","0","","","","2","COMMERCIAL PILOT","400","100","0","0"
"19780425011819I","25-APR-78","LEBANON","NH","LEBANON MUNI","INCIDENT","","FINAL APPROACH","FAIRCHILD","FH-227","C","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","374NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19780520034249I","20-MAY-78","ROCHESTER","NH","SKYHAVEN","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","PITTS","PITTS-S1","PITTS-S1-S","","OTHER","GENERAL OPERATING RULES","NONE","7GV","0","0","","","","1","COMMERCIAL PILOT","5000","300","0","0"
"19780520034329I","20-MAY-78","LACONIA","NH","LACONIA MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","GULSTM","GA-AA","GA-AA-1B","","INSTRUCTION","GENERAL OPERATING RULES","NONE","1630R","0","0","","","","1","STUDENT","25","10","0","0"
"19780523039689I","23-MAY-78","CLAREMONT","NH","CLAREMONT MUNI","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","PIPER","PA-28","PA-28-180","","PERSONAL","GENERAL OPERATING RULES","NONE","7099W","0","0","","","","1","PRIVATE PILOT","75","10","0","0"
"19780718043499I","18-JUL-78","WOLFEBORO","NH","LAKES REGION","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","BEECH","BE-23","BE-23-C23","","PERSONAL","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","1923L","0","0","","","","1","PRIVATE PILOT","61","20","0","0"
"19780805050129I","05-AUG-78","GILFORD","NH","LACONIA MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","LAKE","LA-4","LA-4-200","","PERSONAL","GENERAL OPERATING RULES","NONE","1254L","0","0","","","","1","PRIVATE PILOT","103","25","0","0"
"19780817038079I","17-AUG-78","CLAREMONT","NH","CLAREMONT MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BEECH","BE-35","BE-35-V35A","","PERSONAL","GENERAL OPERATING RULES","NONE","7069N","0","0","","","","1","PRIVATE PILOT","500","300","0","0"
"19780820048979I","20-AUG-78","NEW HAMPTON","NH","CLAREMONT MUNI","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","MOONEY","M-20","M-20-F","","PERSONAL","GENERAL OPERATING RULES","NONE","9389M","0","0","","","","1","PRIVATE PILOT","2000","824","0","0"
