"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"19780114003039I","14-JAN-78","WARREN","VT","WARREN-SUGARBUSH","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","BEECH","BE-95","BE-95-B55","","PERSONAL","GENERAL OPERATING RULES","NONE","212CB","0","0","","","","2","COMMERCIAL PILOT","2000","400","0","0"
"19780211007149I","11-FEB-78","LYNDONVILLE","VT","CALEDONIA COUNTY","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-210","","","PERSONAL","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","2498S","0","0","","","","1","PRIVATE PILOT FLIGHT INSTRUCTOR","2284","262","0","0"
"19780502031579I","02-MAY-78","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BEECH","BE-35","BE-35-C33A","","INSTRUCTION","GENERAL OPERATING RULES","NONE","1984S","0","0","","","","1","PRIVATE PILOT","520","347","0","0"
"19780519034079I","19-MAY-78","CHELSEA","VT","","INCIDENT","SUBSTANTIAL","FCD/PREC LDG FROM CRUISE","ERCO","ERCO-415","ERCO-415-C","","PERSONAL","GENERAL OPERATING RULES","NONE","2221H","0","0","CONT","C85*","C85","1","PRIVATE PILOT","244","70","0","0"
"19780525040409I","25-MAY-78","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","PIPER","PA-23","","","EXECUTIVE","GENERAL OPERATING RULES","NONE","40534","0","0","","","","2","AIRLINE TRANSPORT","8000","2500","0","0"
"19780710043629I","10-JUL-78","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BEECH","BE-35","BE-35-C33A","","PERSONAL","GENERAL OPERATING RULES","NONE","1984S","0","0","","","","1","PRIVATE PILOT","536","363","0","0"
"19780823047739I","23-AUG-78","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BLANCA","BL-17","BL-17-30","","PERSONAL","GENERAL OPERATING RULES","NONE","6574V","0","0","","","","1","PRIVATE PILOT","1400","1400","0","0"
"19780826039179I","26-AUG-78","SPRINGFIELD","VT","","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","GULSTM","GA-AA","GA-AA-1B","","PERSONAL","GENERAL OPERATING RULES","NONE","1446R","0","0","","","","1","PRIVATE PILOT","75","6","0","0"
"19780909018659I","09-SEP-78","BERLIN","VT","KNAPP","INCIDENT","MINOR","LOW LEVEL OPERATIONS","PIPER","PA-J3","","","OTHER","GENERAL OPERATING RULES","NONE","7322H","0","0","","","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","6900","150","0","0"
"19780926028599I","26-SEP-78","DUMMERSTON","VT","DUMMERSTON MUNI","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","PIPER","PA-32","PA-32-R300","","PERSONAL","GENERAL OPERATING RULES","NONE","36222","0","0","","","","1","PRIVATE PILOT","","0","0","0"
"19790103001919I","03-JAN-79","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","FAIRCHILD","FH-227","","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","379NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19790115001629I","15-JAN-79","RUTLAND","VT","RUTLAND MUNI","INCIDENT","MINOR","TAKEOFF GROUND ROLL","BEECH","BE-33","BE-33-F33A","","PERSONAL","GENERAL OPERATING RULES","NONE","9301Q","0","0","","","","1","PRIVATE PILOT","661","542","0","0"
"19790519027239I","19-MAY-79","MONTPELIER","VT","EDWARD F KNAPP STATE","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BLANCA","BL-17","BL-17-30A","","PERSONAL","GENERAL OPERATING RULES","NONE","4165B","0","0","","","","1","COMMERCIAL PILOT","350","30","0","0"
"19790728012619I","28-JUL-79","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","MINOR","TO ABORTED (FIXED WING)","BOEING","727","200","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","DEFENSE VISUAL FLIGHT RULES","522DA","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19790820032299I","20-AUG-79","BURLINGTON","VT","BURLINGTON MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BAC-BAE SYSTEMS","ONE-ELEVEN","200","US AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","1115J","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19790923050609I","23-SEP-79","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","","ROLL-OUT (FIXED WING)","FAIRCHILD","FH-227","","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","374NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19791116055719I","16-NOV-79","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","","FORCED/PRECAUTIONARY LANDING","FAIRCHILD","FH-227","C","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","376NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19791221048969I","21-DEC-79","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","","LEVEL OFF TOUCHDOWN","BAC-BAE SYSTEMS","ONE-ELEVEN","200","US AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","1118J","0","0","","","","2","AIRLINE TRANSPORT","19150","4200","0","0"
"19800103000249I","03-JAN-80","LEMINGTON","VT","","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-150","CE-150-G","","PERSONAL","GENERAL OPERATING RULES","","4074J","0","0","","","","1","PRIVATE PILOT","236","171","0","0"
"19800225027279I","25-FEB-80","DUMMERSTON","VT","MOORES","INCIDENT","MINOR","TAKEOFF GROUND ROLL","CESSNA","CE-150","CE-150-H","","PERSONAL","GENERAL OPERATING RULES","","22721","0","0","","","","1","PRIVATE PILOT","90","9","0","0"
"19800718061479I","18-JUL-80","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-185","","","PERSONAL","GENERAL OPERATING RULES","","55AX","0","0","","","","1","PRIVATE PILOT","2300","15","0","0"
