,AIDS Report Number,Event City,Aircraft Make,Aircraft Model,Primary Flight Type,Flight Conduct Code,Flight Plan Filed Code,Total Fatalities,Total Injuries,PIC Certificate Type,PIC Flight Time Total Hrs,PIC Flight Time Total Make-Model
0,19780105050569I,BOSTON,BOEING,707,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,,2824.522308892356,547.8739469578783
1,19780108002129I,BOSTON,FAIRCHILD,FH-227,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
2,19780109002379I,BOSTON,FAIRCHILD,FH-227,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
3,19780110002399I,BOSTON,FAIRCHILD,FH-227,OTHER,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
4,19780112002729I,STOW,CESSNA,CE-182,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,0,0,PRIVATE PILOT,268.0,205.0
5,19780113002809I,BOSTON,BOEING,727,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
6,19780114003079I,BEDFORD,BEECH,BE-58,BUSINESS,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,0,0,PRIVATE PILOT,983.0,459.0
7,19780116003309I,EAST BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
8,19780119003539I,HYANNIS,FAIRCHILD,FH-227,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
9,19780119003679I,NORTH ADAMS,BEECH,BE-35,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,COMMERCIAL PILOT,3000.0,1000.0
10,19780122004129I,SOUTHBRIDGE,CESSNA,CE-150,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,76.0,76.0
11,19780125004869I,BOSTON,BOEING,747,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
12,19780127002039I,EAST BOSTON,BOEING,747,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
13,19780128003879I,LAKEVILLE,BLANCA,BL-7,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,686.0,230.0
14,19780128004339I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
15,19780128004349I,BOSTON,BOEING,707,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
16,19780129004429I,CHELMSFORD,BLANCA,BL-7,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2900.0,150.0
17,19780130004809I,BOSTON,LOCKHEED,L-1011 TRISTAR,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
18,19780131001929I,EAST BOSTON,BAC-BAE SYSTEMS,ONE-ELEVEN,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
19,19780201005259I,BOSTON,LOCKHEED,L-1011 TRISTAR,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,22619.0,120.0
20,19780202005419I,EAST BOSTON,DOUG,DC-3,AIR TAXI (SCHEDULED- NOT COMMUTER),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
21,19780204005879I,BOSTON,BOEING,747,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
22,19780223000919I,BOSTON,DOUG,DC-6,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
23,19780223000999I,PALMER,PIPER,PA-28,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,400.0,18.0
24,19780225001809I,MARTHAS VINEYARD,PIPER,PA-28,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,312.0,99.0
25,19780225001819I,TEWKSBURY,PIPER,PA-28,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,200.0,22.0
26,19780228000419I,NEW BEDFORD,DOUG,DC-3,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,AIRLINE TRANSPORT,2000.0,25.0
27,19780302014119I,BEDFORD,PIPER,PA-32,BUSINESS,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,0,0,PRIVATE PILOT,1600.0,325.0
28,19780303015339I,BOSTON,PIPER,PA-23,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,4300.0,1000.0
29,19780303015359I,NORTH HATFIELD,CESSNA,CE-150,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,300.0,41.0
30,19780303015379I,SHIRLEY,BLANCA,BL-8,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,COMMERCIAL PILOT,450.0,17.0
31,19780303016049I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
32,19780303016069I,BOSTON,BOEING,727,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
33,19780304015459I,BOSTON,BOEING,707,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
34,19780304015469I,BOSTON,BOEING,747,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
35,19780304015529I,BOSTON,BOEING,747,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
36,19780305015499I,BOSTON,BOEING,747,SCHEDULED AIR CARRIER,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
